,sector,state,district,sex,age,cwstype,wage,edu_cat,log_wage
65534,1,Andhra Pradesh,8,female,54,casual labour,5416.667,below middle,8.597235961
78791,1,Meghalaya,1,female,53,self employed,1,below middle,0
139434,1,Uttar Pradesh,58,male,46,regular wage/salaried employees,10000,Graduate & above,9.210340372
13049,1,Telangana,11,male,57,casual labour,5200,below middle,8.556413905
94415,1,Kerala,10,male,65,casual labour,18416.67,Secondary & higher,9.821011512
92347,1,Tamil Nadu,27,male,31,casual labour,9750,Secondary & higher,9.185022564
41428,2,Uttar Pradesh,52,male,28,self employed,1,below middle,0
27218,2,Gujarat,14,male,30,regular wage/salaried employees,10200,below middle,9.230142999
114649,2,Madhya Pradesh,46,male,28,regular wage/salaried employees,10000,Secondary & higher,9.210340372
10642,1,Kerala,4,female,36,self employed,3500,below middle,8.160518247
132400,2,Chhattisgarh,7,male,25,regular wage/salaried employees,14000,Graduate & above,9.546812609
94887,2,Tamil Nadu,2,male,40,regular wage/salaried employees,15000,Secondary & higher,9.61580548
66308,1,Uttar Pradesh,35,female,32,self employed,1,below middle,0
60970,1,Assam,2,male,33,self employed,1,below middle,0
127807,1,Rajasthan,21,male,38,regular wage/salaried employees,50000,Graduate & above,10.81977828
120300,2,J&K,21,male,50,regular wage/salaried employees,25000,Secondary & higher,10.1266311
3307,1,Maharashtra,7,male,40,self employed,8500,below middle,9.047821442
143485,2,Tamil Nadu,27,male,34,self employed,15000,Graduate & above,9.61580548
81313,2,Uttar Pradesh,26,male,46,regular wage/salaried employees,7000,below middle,8.853665428
114956,1,West Bengal,9,male,22,casual labour,3120,Secondary & higher,8.045588281
54292,2,Karnataka,1,female,55,self employed,6500,below middle,8.779557456
25215,1,West Bengal,4,male,65,casual labour,4333.333,below middle,8.374092271
63252,1,Rajasthan,17,female,46,self employed,1,below middle,0
100440,1,Uttrakhand,8,male,33,self employed,3000,Secondary & higher,8.006367568
72198,1,Uttar Pradesh,62,female,41,self employed,3260,below middle,8.089482474
112088,2,Punjab,7,male,28,regular wage/salaried employees,11000,Secondary & higher,9.305650552
15706,2,Madhya Pradesh,18,male,36,regular wage/salaried employees,3000,below middle,8.006367568
36350,2,Manipur,7,male,35,self employed,6000,below middle,8.699514748
89079,1,Manipur,7,male,38,self employed,12000,Secondary & higher,9.392661929
10854,1,Madhya Pradesh,21,female,50,self employed,1,below middle,0
41341,1,Madhya Pradesh,4,male,65,self employed,6500,below middle,8.779557456
145298,1,Himachal Pradesh,8,female,41,self employed,7250,Graduate & above,8.888756748
59926,1,Bihar,19,male,41,casual labour,9100,below middle,9.116029693
79070,2,Meghalaya,5,male,45,self employed,1,below middle,0
35148,1,Karnataka,21,female,32,self employed,1500,below middle,7.313220387
61536,1,Madhya Pradesh,12,male,60,self employed,10000,below middle,9.210340372
5867,1,Gujarat,2,male,15,casual labour,7583.333,below middle,8.933708092
96425,2,Telangana,16,female,38,regular wage/salaried employees,8500,Secondary & higher,9.047821442
72054,1,Rajasthan,14,female,50,self employed,1,below middle,0
136931,2,Tamil Nadu,23,male,25,regular wage/salaried employees,15000,Graduate & above,9.61580548
129009,2,Mizoram,3,male,45,self employed,40000,Graduate & above,10.59663473
72902,1,Rajasthan,6,male,29,self employed,25000,below middle,10.1266311
61047,1,Arunachal Pradesh,7,male,48,self employed,18600,below middle,9.83091686
78320,1,Kerala,8,male,82,self employed,2500,below middle,7.824046011
54107,1,Punjab,22,male,36,casual labour,1,below middle,0
43117,1,Jharkhand,12,male,46,self employed,6000,below middle,8.699514748
12641,1,Uttrakhand,6,female,65,self employed,5000,below middle,8.517193191
109912,1,Andhra Pradesh,8,male,33,regular wage/salaried employees,5000,Secondary & higher,8.517193191
32826,1,Mizoram,7,male,51,self employed,2500,below middle,7.824046011
57550,1,Uttar Pradesh,57,male,44,self employed,2900,below middle,7.972466016
66112,1,Mizoram,6,male,45,self employed,10000,below middle,9.210340372
15914,1,Karnataka,14,male,32,casual labour,6066.667,below middle,8.710564639
47466,1,Tamil Nadu,4,male,33,casual labour,10400,below middle,9.249561085
111928,1,Punjab,8,male,32,regular wage/salaried employees,11000,Secondary & higher,9.305650552
31784,1,Tamil Nadu,29,male,31,casual labour,6066.667,below middle,8.710564639
101882,2,Arunachal Pradesh,6,female,41,regular wage/salaried employees,36500,Secondary & higher,10.50506754
78538,1,West Bengal,9,female,31,self employed,2000,below middle,7.60090246
89683,1,J&K,14,male,24,self employed,26000,Secondary & higher,10.16585182
113817,1,Madhya Pradesh,34,male,55,self employed,20000,Secondary & higher,9.903487553
137502,2,Punjab,12,female,44,regular wage/salaried employees,85000,Graduate & above,11.35040654
14048,1,Rajasthan,26,female,30,self employed,1,below middle,0
23998,1,Maharashtra,20,male,31,self employed,1,below middle,0
115514,1,Gujarat,25,male,23,regular wage/salaried employees,8000,Secondary & higher,8.987196821
75575,1,J&K,18,female,35,self employed,1,below middle,0
94917,2,Karnataka,21,female,46,regular wage/salaried employees,8000,Secondary & higher,8.987196821
118698,1,Chhattisgarh,27,female,24,casual labour,5763.333,Secondary & higher,8.659271232
111594,2,Maharashtra,9,male,37,self employed,10000,Secondary & higher,9.210340372
137409,2,Madhya Pradesh,44,male,30,regular wage/salaried employees,32000,Graduate & above,10.37349118
22118,1,Punjab,8,male,30,casual labour,10616.67,below middle,9.270180686
128561,2,J&K,21,female,57,regular wage/salaried employees,80000,Graduate & above,11.28978191
30369,2,Uttar Pradesh,30,male,50,self employed,1,below middle,0
726,2,Maharashtra,17,male,35,casual labour,10400,below middle,9.249561085
57102,1,Goa,1,female,53,regular wage/salaried employees,1,below middle,0
90876,2,Haryana,13,male,24,casual labour,9100,Secondary & higher,9.116029693
86518,2,Tamil Nadu,7,female,31,regular wage/salaried employees,30000,Secondary & higher,10.30895266
2617,2,West Bengal,2,male,62,self employed,4000,below middle,8.29404964
73740,2,Kerala,14,male,54,casual labour,4116.667,below middle,8.322799134
59557,1,West Bengal,7,male,43,self employed,9500,below middle,9.159047078
138904,2,Uttar Pradesh,33,male,42,self employed,14000,Graduate & above,9.546812609
25171,2,Maharashtra,22,female,40,regular wage/salaried employees,9000,below middle,9.104979856
28385,1,Uttar Pradesh,63,female,53,self employed,1,below middle,0
22770,2,West Bengal,16,female,40,regular wage/salaried employees,3000,below middle,8.006367568
106742,1,West Bengal,3,male,22,self employed,10000,Secondary & higher,9.210340372
55992,1,Uttrakhand,6,male,58,self employed,5000,below middle,8.517193191
146252,2,Karnataka,21,male,33,regular wage/salaried employees,1,Graduate & above,0
76444,1,Meghalaya,5,female,42,self employed,6000,below middle,8.699514748
93207,1,Andhra Pradesh,12,male,61,casual labour,3466.667,Secondary & higher,8.150948893
121360,1,Uttar Pradesh,49,female,58,regular wage/salaried employees,3500,Secondary & higher,8.160518247
43898,1,Arunachal Pradesh,15,female,34,self employed,1,below middle,0
11221,1,Gujarat,16,male,46,self employed,2800,below middle,7.937374696
13040,1,Chhattisgarh,12,male,43,self employed,5650,below middle,8.639410824
54057,2,Himachal Pradesh,9,male,31,casual labour,10616.67,below middle,9.270180686
51893,1,J&K,7,male,42,regular wage/salaried employees,12000,below middle,9.392661929
114799,2,Tamil Nadu,3,male,25,regular wage/salaried employees,2000,Secondary & higher,7.60090246
40813,2,Chhattisgarh,13,male,20,regular wage/salaried employees,5000,below middle,8.517193191
144546,2,Rajasthan,7,male,27,regular wage/salaried employees,13000,Graduate & above,9.472704636
76964,1,Uttar Pradesh,49,male,65,self employed,7000,below middle,8.853665428
107977,1,Rajasthan,31,male,35,casual labour,7583.333,Secondary & higher,8.933708092
33392,2,Haryana,11,male,45,self employed,1,below middle,0
125104,2,Bihar,28,male,53,regular wage/salaried employees,15500,Graduate & above,9.648595303
81652,1,Jharkhand,13,male,35,self employed,5500,below middle,8.612503371
22906,1,Gujarat,9,male,42,casual labour,9100,below middle,9.116029693
86880,1,Maharashtra,21,male,22,regular wage/salaried employees,15000,Secondary & higher,9.61580548
139994,1,Assam,13,male,26,self employed,4000,Graduate & above,8.29404964
18701,2,Andhra Pradesh,13,female,32,self employed,1,below middle,0
121075,2,Meghalaya,6,male,50,self employed,50000,Secondary & higher,10.81977828
100446,1,Himachal Pradesh,11,male,48,self employed,1,Secondary & higher,0
91361,1,Uttar Pradesh,64,female,30,self employed,1,Secondary & higher,0
29511,1,Chhattisgarh,9,female,42,self employed,1,below middle,0
48482,1,Assam,14,male,34,casual labour,9100,below middle,9.116029693
138799,1,Uttar Pradesh,48,male,32,self employed,2800,Graduate & above,7.937374696
80384,1,Telangana,24,female,48,regular wage/salaried employees,6500,below middle,8.779557456
93135,1,Kerala,13,male,32,casual labour,6933.333,Secondary & higher,8.844095929
50181,1,Uttrakhand,12,female,25,casual labour,3986.667,below middle,8.290710822
32994,2,Karnataka,29,male,34,self employed,16000,below middle,9.680344001
59759,1,Kerala,11,male,33,casual labour,13000,below middle,9.472704636
